airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,additiona_info,price
Air Asia,2019-04-01,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,No Info,5162
Air India,2019-03-06,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No info,No Info,14777
Air India,2019-03-15,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No info,No Info,8714
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:00:00,1440,2.0,No info,No Info,14298
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,650,1.0,In-flight meal not included,In-flight meal not included,6540
SpiceJet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,No Info,3859
Air Asia,2019-05-15,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,No Info,4107
GoAir,2019-03-03,Delhi,Cochin,07:00:00,12:50:00,350,1.0,No info,No Info,7378
IndiGo,2019-05-12,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No info,No Info,5000
Jet Airways,2019-04-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,No Info,8040
Multiple carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No info,No Info,6916
Multiple carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,No Info,7670
IndiGo,2019-06-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,No Info,4804
IndiGo,2019-03-03,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No info,No Info,10236
Air India,2019-03-03,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No info,No Info,11654
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,880,1.0,No info,No Info,6901
Air India,2019-06-15,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,No Info,6961
IndiGo,2019-04-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,No Info,4174
Air India,2019-06-09,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,No Info,7171
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No info,No Info,6152
Air India,2019-05-06,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,No Info,4667
IndiGo,2019-05-24,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No info,No Info,4823
Vistara,2019-06-06,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,No Info,4668
Vistara,2019-05-21,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,No Info,4878
IndiGo,2019-05-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,No Info,7191
Multiple carriers,2019-03-03,Delhi,Cochin,06:40:00,18:50:00,730,1.0,No info,No Info,15135
SpiceJet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,No check-in baggage included,3543
